,target,f1_x,f2_x,f3_x,f4_x,f5_x,f6_x,f7_x,f8_x,f9_x,f1_y,f2_y,f3_y,f4_y,f5_y,f6_y,f7_y,f8_y,f9_y
0,1,2,1,0,2,2,1,1,0,2,2,2,1,0,0,3,0,4,2
1,0,1,2,1,3,0,2,0,2,2,2,2,1,0,0,3,0,4,2
2,1,1,0,1,0,2,1,0,2,2,2,2,1,0,0,3,0,4,2
3,0,2,1,0,2,2,1,1,0,2,0,1,0,1,0,3,1,0,1
4,0,1,1,1,1,1,2,0,3,2,0,1,0,1,0,3,1,0,1
5,1,2,1,1,1,0,2,0,4,1,0,1,0,1,0,3,1,0,1
6,1,0,2,0,1,0,2,1,1,1,0,1,0,1,0,3,1,0,1
7,0,2,1,0,2,2,1,1,0,2,3,4,0,2,2,1,1,3,2
8,0,3,4,1,3,2,2,2,1,2,3,4,0,2,2,1,1,3,2
9,0,2,4,1,1,2,3,0,2,2,3,4,0,2,2,1,1,3,2
10,1,2,4,1,2,2,1,0,1,2,3,4,0,2,2,1,1,3,2
11,0,2,1,1,1,0,1,1,2,1,3,4,0,2,2,1,1,3,2
12,0,2,1,0,2,2,1,1,0,2,1,2,0,2,0,1,1,1,1
13,0,3,4,2,4,2,2,3,2,2,1,2,0,2,0,1,1,1,1
14,0,1,1,0,1,0,3,1,0,1,1,2,0,2,0,1,1,1,1
15,1,2,1,0,0,3,2,2,3,2,1,2,0,2,0,1,1,1,1
16,0,2,2,1,0,2,2,1,0,2,1,4,1,1,0,2,0,0,2
17,0,2,1,1,3,1,2,0,1,2,1,4,1,1,0,2,0,0,2
18,1,1,1,1,0,2,1,1,0,1,1,4,1,1,0,2,0,0,2
19,1,2,4,1,0,2,2,3,4,2,1,4,1,1,0,2,0,0,2
20,0,2,2,1,0,2,2,1,0,2,2,1,1,1,2,3,0,3,2
21,0,2,1,1,3,2,1,0,4,2,2,1,1,1,2,3,0,3,2
22,0,2,2,1,0,2,2,1,0,2,1,0,1,3,0,1,0,3,2
23,0,3,4,1,0,2,2,0,4,2,1,0,1,3,0,1,0,3,2
24,0,1,2,1,0,2,2,1,1,1,1,0,1,3,0,1,0,3,2
25,1,2,1,1,3,0,2,2,2,1,1,0,1,3,0,1,0,3,2
26,0,2,2,1,0,2,2,1,0,2,1,1,1,2,2,2,1,3,2
27,0,3,1,1,1,2,2,0,3,2,1,1,1,2,2,2,1,3,2
28,0,2,4,1,3,2,2,0,3,2,1,1,1,2,2,2,1,3,2
29,1,2,2,1,3,2,2,0,4,2,1,1,1,2,2,2,1,3,2
30,1,3,2,1,3,2,2,0,0,2,1,1,1,2,2,2,1,3,2
31,0,2,2,1,0,2,2,1,0,2,2,1,0,2,2,2,0,1,2
32,0,1,4,1,0,2,2,1,1,2,2,1,0,2,2,2,0,1,2
33,1,2,1,0,1,2,2,0,1,2,2,1,0,2,2,2,0,1,2
34,0,1,1,1,0,2,1,0,1,1,2,1,0,2,2,2,0,1,2
35,1,3,0,1,1,2,2,0,0,2,2,1,0,2,2,2,0,1,2
36,1,2,2,1,0,2,2,1,0,2,3,1,1,3,0,2,0,1,2
37,0,0,1,1,0,2,2,0,3,2,3,1,1,3,0,2,0,1,2
38,1,2,2,1,0,2,2,1,0,2,1,4,1,0,2,2,1,0,2
39,0,2,1,1,0,2,2,1,4,2,1,4,1,0,2,2,1,0,2
40,0,2,1,1,3,2,2,0,1,2,1,4,1,0,2,2,1,0,2
41,0,2,1,1,3,2,2,1,1,1,1,4,1,0,2,2,1,0,2
42,0,1,1,1,3,0,2,0,1,2,1,4,1,0,2,2,1,0,2
43,1,3,1,1,3,0,2,0,1,2,1,4,1,0,2,2,1,0,2
44,0,1,1,1,0,1,2,1,1,2,1,2,1,1,2,3,0,3,2
45,0,3,4,1,0,2,2,3,3,2,1,2,1,1,2,3,0,3,2
46,1,1,2,1,1,2,2,0,2,2,1,2,1,1,2,3,0,3,2
47,0,1,4,1,3,2,2,0,3,2,1,2,1,1,2,3,0,3,2
48,0,3,1,1,3,2,1,0,4,2,1,2,1,1,2,3,0,3,2
49,0,2,0,1,1,2,2,3,2,2,1,2,1,1,2,3,0,3,2
50,0,1,0,1,1,2,2,0,0,1,1,2,1,1,2,3,0,3,2
51,0,2,0,1,0,2,3,1,4,2,1,2,1,1,2,3,0,3,2
52,0,1,1,1,0,1,2,1,1,2,1,1,1,3,0,1,2,2,1
53,0,3,2,1,3,2,2,1,3,2,1,1,1,3,0,1,2,2,1
54,0,2,1,1,0,0,2,1,1,1,1,1,1,3,0,1,2,2,1
55,0,1,1,1,1,0,2,1,2,1,1,1,1,3,0,1,2,2,1
56,0,1,2,1,3,2,3,0,0,2,1,1,1,3,0,1,2,2,1
57,0,1,1,1,1,2,1,0,1,1,1,1,1,3,0,1,2,2,1
58,1,1,1,1,1,2,3,0,1,1,1,1,1,3,0,1,2,2,1
59,0,1,1,1,0,1,2,1,1,2,0,1,0,2,2,1,1,4,2
60,0,2,1,0,2,2,3,0,3,2,0,1,0,2,2,1,1,4,2
61,0,1,1,1,1,3,2,1,3,2,0,1,0,2,2,1,1,4,2
62,0,1,4,1,0,2,2,2,1,1,0,1,0,2,2,1,1,4,2
63,0,2,1,0,2,2,1,0,1,2,0,1,0,2,2,1,1,4,2
64,0,2,1,0,2,2,3,0,2,2,0,1,0,2,2,1,1,4,2
65,0,3,1,2,1,0,2,1,3,2,0,1,0,2,2,1,1,4,2
66,0,2,1,1,1,2,1,3,0,2,0,1,0,2,2,1,1,4,2
67,0,1,4,0,0,2,3,1,3,2,0,1,0,2,2,1,1,4,2
68,0,1,4,1,0,0,2,1,1,1,0,1,0,2,2,1,1,4,2
69,0,1,1,1,0,1,2,1,1,2,1,4,1,0,0,2,2,0,2
70,0,3,4,1,0,2,2,3,4,2,1,4,1,0,0,2,2,0,2
71,0,1,4,1,1,2,3,1,1,2,1,4,1,0,0,2,2,0,2
72,1,2,2,0,2,2,2,0,0,2,1,4,1,0,0,2,2,0,2
73,0,1,1,1,0,1,2,1,1,2,3,1,1,3,1,2,0,4,2
74,1,0,1,1,0,2,1,0,2,1,3,1,1,3,1,2,0,4,2
75,0,1,1,1,1,2,3,0,4,2,3,1,1,3,1,2,0,4,2
76,0,2,4,1,0,2,2,1,2,2,3,1,1,3,2,2,2,2,1
77,0,0,1,1,0,2,1,0,2,1,3,1,1,3,2,2,2,2,1
78,0,2,1,1,0,0,2,1,1,1,3,1,1,3,2,2,2,2,1
79,1,1,0,1,0,2,2,3,3,2,3,1,1,3,2,2,2,2,1
80,0,3,4,1,0,2,2,0,2,2,3,1,1,3,2,2,2,2,1
81,0,2,2,1,0,2,2,1,1,2,3,1,1,3,2,2,2,2,1
82,0,3,2,1,3,2,2,1,4,2,3,1,1,3,2,2,2,2,1
83,0,3,1,1,1,2,1,1,0,2,3,1,1,3,2,2,2,2,1
84,0,2,4,1,0,2,2,1,2,2,1,1,1,0,2,2,1,2,1
85,0,2,0,1,0,2,2,0,0,2,1,1,1,0,2,2,1,2,1
86,1,0,1,1,3,2,2,1,1,2,1,1,1,0,2,2,1,2,1
87,1,2,4,1,0,2,2,1,2,2,2,1,0,1,2,3,0,2,2
88,0,2,2,1,0,2,2,3,2,2,2,1,0,1,2,3,0,2,2
89,1,2,1,1,1,2,2,0,1,1,2,1,0,1,2,3,0,2,2
90,1,3,4,1,3,2,2,0,1,2,2,1,0,1,2,3,0,2,2
91,1,3,4,1,0,2,3,1,2,2,2,1,0,1,2,3,0,2,2
92,0,0,1,1,0,0,2,0,2,2,2,1,0,1,2,3,0,2,2
93,0,2,4,1,0,2,2,1,2,2,1,2,1,0,0,2,0,0,2
94,0,0,1,1,3,2,2,1,4,2,1,2,1,0,0,2,0,0,2
95,0,1,1,1,2,2,2,0,0,2,1,2,1,0,0,2,0,0,2
96,1,3,2,1,3,2,2,0,4,2,1,2,1,0,0,2,0,0,2
97,0,2,1,1,3,2,3,0,2,2,1,2,1,0,0,2,0,0,2
98,1,2,4,1,0,2,2,1,2,2,3,4,1,0,2,3,1,2,2
99,0,3,1,1,1,2,2,0,3,2,3,4,1,0,2,3,1,2,2
100,1,2,1,1,1,2,2,0,1,1,3,4,1,0,2,3,1,2,2
101,1,3,4,1,3,2,2,0,1,2,3,4,1,0,2,3,1,2,2
102,0,2,4,1,0,2,2,1,2,2,3,0,1,3,2,2,0,4,2
103,0,2,1,1,0,2,2,1,4,2,3,0,1,3,2,2,0,4,2
104,0,1,2,1,0,2,2,1,0,2,3,0,1,3,2,2,0,4,2
105,0,1,1,1,2,2,2,0,0,2,3,0,1,3,2,2,0,4,2
106,0,3,0,1,0,2,2,0,3,2,3,0,1,3,2,2,0,4,2
107,0,3,1,1,3,2,3,0,0,2,3,0,1,3,2,2,0,4,2
108,0,2,1,1,0,2,1,0,1,2,3,0,1,3,2,2,0,4,2
109,0,2,4,1,0,2,2,1,2,2,1,1,1,0,2,1,1,1,1
110,0,3,0,1,0,2,2,0,3,2,1,1,1,0,2,1,1,1,1
111,1,0,1,1,0,2,2,3,3,2,1,1,1,0,2,1,1,1,1
112,0,1,0,1,1,2,2,0,3,2,1,1,1,0,2,1,1,1,1
113,1,2,4,1,0,2,2,1,2,2,2,1,1,1,2,2,0,1,1
114,1,3,4,1,3,2,2,0,1,2,2,1,1,1,2,2,0,1,1
115,0,2,2,1,0,2,2,0,1,2,2,1,1,1,2,2,0,1,1
116,0,1,1,1,3,2,2,1,1,2,2,1,1,1,2,2,0,1,1
117,1,2,4,1,0,2,2,1,2,2,3,4,1,3,2,2,0,1,2
118,0,2,1,1,0,0,2,0,1,1,1,1,1,3,2,2,2,1,1
119,1,3,1,1,2,2,3,0,0,2,1,1,1,3,2,2,2,1,1
120,0,2,0,1,0,2,2,3,2,2,1,1,1,3,2,2,2,1,1
121,1,1,2,1,0,2,2,3,2,2,1,1,1,3,2,2,2,1,1
122,0,1,0,1,3,2,1,0,2,2,1,1,1,3,2,2,2,1,1
123,1,2,1,1,0,0,2,0,1,1,1,2,1,2,2,2,1,0,1
124,0,2,1,0,2,2,1,0,1,2,1,2,1,2,2,2,1,0,1
125,0,2,1,2,3,2,3,1,2,2,1,2,1,2,2,2,1,0,1
126,1,0,0,1,3,2,2,0,0,2,1,2,1,2,2,2,1,0,1
127,0,2,1,1,0,0,2,0,1,1,2,2,1,0,2,3,0,3,2
128,1,0,1,1,1,2,2,0,1,1,2,2,1,0,2,3,0,3,2
129,0,2,1,1,0,2,3,0,4,2,2,2,1,0,2,3,0,3,2
130,0,1,1,0,3,2,2,1,3,2,2,2,1,0,2,3,0,3,2
131,0,3,2,1,3,2,2,0,4,2,2,2,1,0,2,3,0,3,2
132,1,2,1,1,0,0,2,0,1,1,0,0,1,3,2,2,0,0,2
