,target,f1,f2,f3,f4,f5,f6,f7,f8,f9
0,1,1,3,0,3,0,1,1,1,1
1,0,1,3,0,3,0,1,1,1,1
2,1,1,3,0,3,0,1,1,1,1
3,1,2,1,0,0,0,1,0,1,1
4,0,1,0,0,3,0,0,0,0,0
5,0,1,0,0,3,0,0,0,0,0
6,1,0,0,0,0,0,2,2,1,1
7,1,0,0,0,0,0,2,2,1,1
8,0,2,4,0,3,0,2,0,1,1
9,0,2,4,0,3,0,2,0,1,1
10,0,2,4,0,3,0,2,0,1,1
11,1,2,4,0,3,0,2,0,1,1
12,0,2,4,0,3,0,2,0,1,1
13,0,0,1,0,2,0,2,0,1,1
14,0,1,3,0,1,0,1,2,0,0
15,0,1,3,0,1,0,1,2,2,0
16,0,0,3,0,2,0,1,1,2,0
17,0,0,3,0,2,0,1,1,2,0
18,0,0,3,0,2,0,1,1,2,0
19,0,1,0,1,1,0,1,0,2,0
20,0,0,3,1,2,0,2,0,0,0
21,1,0,3,1,2,0,2,0,0,0
22,0,2,1,1,0,0,0,2,3,0
23,0,1,0,1,1,0,1,1,2,1
24,0,0,0,1,1,2,1,1,1,0
25,1,0,0,1,1,2,1,1,1,0
26,0,0,0,1,1,2,1,1,1,0
27,0,0,0,1,1,2,1,1,0,1
28,1,0,0,1,1,2,1,1,0,1
29,1,0,0,1,1,2,1,1,0,1
30,1,2,3,1,1,2,1,0,2,1
31,0,0,4,0,2,0,1,0,1,0
32,0,0,4,0,2,0,1,0,1,0
33,0,0,4,0,2,0,1,0,1,0
34,1,0,4,0,2,0,1,0,1,0
35,0,0,4,0,2,0,1,0,1,0
36,1,0,4,0,2,0,1,0,1,0
37,1,3,4,0,3,0,0,1,4,0
38,0,3,4,0,3,0,0,1,4,0
39,0,1,0,0,3,0,0,0,4,0
40,0,0,3,0,3,0,0,0,1,0
41,0,0,3,0,3,0,0,0,1,0
42,0,1,4,0,3,0,1,0,3,0
43,0,1,4,0,3,0,1,0,3,0
44,0,1,3,0,0,0,2,0,2,0
45,1,1,3,0,0,0,2,0,2,0
46,1,1,3,0,0,0,2,0,2,0
47,1,0,1,0,2,0,1,0,3,0
48,1,0,1,0,2,0,1,0,3,0
49,1,1,2,0,1,2,0,0,2,0
50,1,1,2,0,1,2,0,0,2,0
51,0,1,2,0,1,2,0,0,2,0
52,1,1,2,0,1,2,0,0,2,0
53,0,1,0,1,1,0,2,1,2,0
54,0,1,0,1,1,0,2,1,2,0
55,0,0,1,1,0,0,1,1,0,0
56,0,0,1,1,0,0,1,1,0,0
57,1,0,1,1,0,0,1,1,0,0
58,1,0,0,0,0,0,0,1,1,0
59,0,0,1,0,1,0,0,0,0,0
60,0,0,1,0,1,0,0,0,0,0
61,0,0,1,0,1,0,0,0,0,0
62,1,2,3,0,1,2,1,1,1,0
63,0,2,3,0,1,2,1,1,1,0
64,0,2,3,0,1,2,1,1,1,0
65,0,1,0,1,0,0,0,1,3,0
66,0,1,0,1,0,0,0,1,3,0
67,0,1,0,1,0,0,0,1,3,0
68,1,0,1,1,2,0,1,0,0,0
69,1,0,1,1,2,0,1,0,0,0
70,1,0,1,1,2,0,1,0,0,0
71,1,2,1,0,1,2,1,0,2,1
72,0,2,1,0,1,2,1,0,2,1
73,0,2,1,0,1,2,1,0,2,1
74,0,3,3,0,0,2,0,0,0,1
75,0,2,0,0,2,2,0,0,2,0
76,1,2,0,0,2,2,0,0,2,0
77,1,1,2,0,2,2,0,0,3,0
78,1,1,2,0,2,2,0,0,3,0
79,0,1,2,0,2,2,0,0,3,0
80,1,1,2,0,2,2,0,0,3,0
81,0,2,2,0,1,0,1,3,3,0
82,0,2,2,0,1,0,1,3,3,0
83,1,2,2,0,1,0,1,3,3,0
84,1,2,2,0,2,1,1,1,1,0
85,0,2,2,0,2,1,1,1,1,0
